theta,mean_relative_force,stddev_relative_force,median_relative_force,lower_25_relative_force,upper_75_relative_forcemean_time_mus,stddev_time_ns,median_time_ns,lower_25_time_ns,upper_75_time_ns
0.444,0.995924,0.0142692,0.99764,0.992309,1.00066,17939.9,4848.45,18261,15928,19837
0.447,0.995844,0.0147238,0.997705,0.992128,1.00056,17847.2,5988.39,18074,15630,19615
0.45,0.995756,0.0145758,0.997589,0.992027,1.0006,17475.7,4257.41,17900,15523,19355
0.453,0.995669,0.014752,0.997556,0.991818,1.00059,17195.9,3822.66,17718,15429,19130
0.456,0.995604,0.0150238,0.997604,0.991661,1.0007,17168.3,5034.61,17539,15210,18898
0.459,0.995507,0.0151165,0.997474,0.99163,1.0007,17196.7,6976.16,17286,14969,18750
0.462,0.995435,0.014503,0.997547,0.9915,1.00072,16733.6,4300.24,17051,14860,18560
0.465,0.995395,0.0153731,0.997488,0.99131,1.00082,16588.3,4921.17,16896,14663,18392
0.468,0.995128,0.0161548,0.997401,0.991133,1.00081,16344.7,4363.94,16696,14458,18190
0.471,0.995163,0.0172194,0.997401,0.991133,1.00081,16154.4,4236.05,16526,14390,17995
0.474,0.995008,0.0171815,0.997284,0.990955,1.00069,16115.7,5488.94,16347,14256,17805
0.477,0.994856,0.0176107,0.997182,0.990721,1.00066,16020.5,5110.29,16098,14053,17681
0.48,0.994768,0.0175694,0.997139,0.990312,1.00069,15725,4794.17,15945,13960,17467
0.483,0.99469,0.0178103,0.996963,0.990009,1.00064,15574.4,4264.57,15779,13752,17250
0.486,0.994684,0.0183479,0.996845,0.989687,1.00071,15433.5,4341.47,15597,13644,17120
0.489,0.994755,0.0189025,0.997017,0.98978,1.0007,15093.2,2951.04,15483,13461,16931
0.492,0.994708,0.0192012,0.996952,0.989826,1.0007,15331.8,4665.97,15342,13397,16840
0.495,0.994706,0.0189975,0.996889,0.98978,1.00069,15028.4,4565.15,15152,13167,16621
0.498,0.994587,0.0189835,0.996889,0.989739,1.00071,14848.8,4024.73,15004,13066,16460
0.501,0.994465,0.0189077,0.996889,0.98946,1.00067,15017.3,6115.92,14839,12918,16363
0.504,0.994501,0.0188654,0.996921,0.98939,1.00066,14440.6,3032.03,14726,12816,16185
0.507,0.994507,0.019039,0.996922,0.98939,1.00072,14553.7,4510.55,14602,12734,16048
0.51,0.994331,0.0196785,0.996905,0.989362,1.00076,14584.9,6201.9,14501,12623,15884
0.513,0.994312,0.0197402,0.996863,0.989209,1.00075,14052.6,2956.59,14334,12518,15681
0.516,0.994233,0.0198712,0.996785,0.989245,1.0008,14026.7,3551.66,14195,12375,15544
0.519,0.994117,0.0202658,0.996839,0.989129,1.00068,13881,3418.84,14061,12297,15356
0.522,0.994026,0.0203639,0.99677,0.989202,1.00078,13800.8,4149.07,13903,12197,15214
0.525,0.994082,0.0204906,0.996936,0.989084,1.00073,13849.3,5160.93,13781,12080,15047
0.528,0.994072,0.0208552,0.996901,0.989129,1.00076,13549.5,4000.21,13626,12014,14939
0.531,0.993855,0.0209122,0.997019,0.988838,1.00082,13325.5,2827.69,13562,11937,14786
0.534,0.993633,0.0214718,0.997014,0.988124,1.00081,13614.3,5556.91,13435,11817,14689
0.537,0.993324,0.0219974,0.996904,0.988013,1.00086,13142.5,3437.93,13274,11683,14508
0.54,0.993191,0.0220247,0.996791,0.987854,1.00085,12982.2,3327.56,13147,11598,14381
0.543,0.993129,0.0221055,0.996626,0.987782,1.00089,12877.2,3483.5,13058,11507,14211
0.546,0.99309,0.0230326,0.996573,0.987613,1.00089,12746.3,3232.09,12909,11375,14113
0.549,0.993045,0.0234467,0.996697,0.987967,1.00085,12647.9,3099.34,12799,11192,13968
0.552,0.992974,0.0237639,0.99655,0.987655,1.00096,12500.5,2858.69,12676,11109,13823
0.555,0.992856,0.023971,0.99655,0.987555,1.00085,12500.6,4041.82,12500,11065,13770
0.558,0.992642,0.0238693,0.996342,0.987478,1.00089,12340.6,3096.86,12400,10981,13632
0.561,0.992581,0.0241148,0.996279,0.987127,1.00091,12376,3831.88,12323,10909,13489
0.564,0.992516,0.0241037,0.996185,0.987022,1.00089,12082.7,2887.49,12206,10727,13376
0.567,0.992434,0.0241316,0.996192,0.986765,1.0009,12474.2,11557.8,12145,10646,13272
0.57,0.992222,0.0246939,0.99602,0.986684,1.00091,11960.9,3370.89,12014,10548,13173
0.573,0.992132,0.0255152,0.99602,0.986551,1.00104,11818.8,3265.13,11922,10467,13055
0.576,0.992122,0.0257124,0.99602,0.986117,1.00098,11808.6,3493.88,11826,10328,12941
0.579,0.991983,0.0258735,0.995946,0.985867,1.00101,11777.4,3892.57,11725,10317,12836
0.582,0.991865,0.0263591,0.99594,0.98595,1.00111,11843.7,5126.65,11622,10216,12699
0.585,0.99169,0.0263692,0.99591,0.985894,1.00111,11645,4290.73,11537,10127,12628
0.588,0.991546,0.026162,0.995723,0.985276,1.00111,11434.7,3332.6,11488,10103,12534
0.591,0.991401,0.0263726,0.995634,0.985207,1.00098,11335.6,3600.17,11353,10019,12454
0.594,0.991159,0.0268594,0.995506,0.985042,1.0009,11351.1,4899.96,11232,9949,12314
0.597,0.991175,0.027149,0.995326,0.984813,1.00093,11054.2,3254.88,11170,9852,12179
0.6,0.991146,0.0273708,0.995221,0.984683,1.00081,11028.3,3269.92,11083,9815,12082
0.603,0.991125,0.0279561,0.995335,0.984114,1.00107,10936.5,2969.87,11009,9754,11993
0.606,0.991147,0.0281689,0.995329,0.984219,1.00093,10749.2,2479.71,10917,9666,11883
0.609,0.991205,0.0279631,0.99528,0.984055,1.00097,10693.6,2745.61,10887,9542,11757
0.612,0.991143,0.028039,0.995234,0.984055,1.00093,10659.8,2966.6,10756,9539,11661
0.615,0.99114,0.0282302,0.99518,0.983651,1.00124,10587.4,3270.93,10653,9444,11565
0.618,0.991131,0.0282189,0.995302,0.983616,1.0012,10552.4,3194.97,10591,9342,11490
0.621,0.990995,0.0293597,0.99518,0.983285,1.00139,10524.2,3985.9,10526,9278,11422
0.624,0.990933,0.029679,0.995452,0.983153,1.0015,10578.6,9370.83,10439,9211,11321
0.627,0.990767,0.0299832,0.995319,0.982821,1.00156,10319.9,3727.65,10345,9172,11233
0.63,0.990775,0.0309869,0.995319,0.982831,1.00158,10366.2,3750.63,10260,9111,11182
0.633,0.990773,0.0310116,0.995559,0.982758,1.00166,10059,2435.49,10180,9082,11053
0.636,0.990612,0.0308707,0.995558,0.982587,1.00155,10103.3,3500.89,10109,9009,10973
0.639,0.990507,0.0312472,0.995255,0.982672,1.00156,9964.73,3134.05,10022,8934,10911
0.642,0.990404,0.0310847,0.995039,0.982411,1.00157,10013.8,3863.49,9980,8892,10847
0.645,0.990274,0.0312974,0.994835,0.982415,1.00156,9840.37,3133.04,9892,8822,10742
0.648,0.989944,0.0320441,0.995039,0.982255,1.00166,9882.76,4463.93,9845,8714,10686
0.651,0.989733,0.0324309,0.995019,0.98207,1.00157,9729.52,3348.47,9774,8657,10612
0.654,0.989485,0.0329591,0.994996,0.981434,1.00146,9590.37,3008.22,9696,8582,10520
0.657,0.989394,0.0329909,0.99494,0.981324,1.00167,9529.79,2762.49,9633,8529,10481
0.66,0.989237,0.0332873,0.994789,0.980781,1.00176,9526.94,3528.92,9560,8478,10436
0.663,0.989207,0.0334023,0.994789,0.980707,1.00176,9447.17,4099.51,9468,8356,10355
0.666,0.989045,0.033574,0.994789,0.980261,1.00181,9342.17,3267.24,9421,8315,10289
0.669,0.988678,0.0337638,0.994479,0.979961,1.00171,9179.08,2049.09,9365,8255,10205
0.672,0.988478,0.0340717,0.994444,0.979624,1.00171,9153,2661.78,9277,8174,10114
0.675,0.988926,0.0323356,0.994422,0.979788,1.00164,9286.99,5012.92,9214,8086,10049
0.678,0.988814,0.0335106,0.994191,0.97918,1.00164,8985.97,2416.64,9151,8023,9972
0.681,0.988908,0.0352,0.994182,0.979207,1.0019,8916.33,2322.41,9074,7962,9883
0.684,0.988902,0.0354653,0.994475,0.97909,1.00192,8853.18,2286.5,9005,7904,9845
0.687,0.988745,0.0355893,0.994222,0.979011,1.00192,8770.85,2424.9,8907,7880,9727
0.69,0.988519,0.035488,0.994072,0.97849,1.00178,8818.35,4911.18,8813,7799,9666
0.693,0.98947,0.0472007,0.994072,0.978505,1.00193,8662.1,2428.54,8756,7760,9623
0.696,0.98942,0.0478715,0.994005,0.978025,1.0022,8748.1,3954.72,8737,7710,9553
0.699,0.989275,0.0482782,0.993972,0.977709,1.00226,8740.64,4392.01,8650,7633,9463
0.702,0.989148,0.0485647,0.993878,0.977403,1.00233,8486.03,2513.93,8580,7565,9432
0.705,0.989316,0.0492327,0.993966,0.977284,1.00233,8361.62,1873.64,8506,7491,9363
0.708,0.989104,0.0497388,0.993802,0.976639,1.00251,8478.62,3332.66,8447,7401,9300
0.711,0.989073,0.0502309,0.993819,0.976801,1.00267,8451.75,3450.25,8428,7347,9250
0.714,0.988992,0.0479195,0.993645,0.976482,1.00264,8218.18,2234.39,8348,7308,9182
0.717,0.988788,0.0475137,0.993645,0.97604,1.00243,8172.35,2445.05,8317,7297,9121
0.72,0.98898,0.0489137,0.993645,0.976178,1.00266,8156.76,2714.69,8272,7230,9082
0.723,0.989066,0.0485727,0.993787,0.974873,1.00266,7999.71,1741.39,8194,7124,9005
0.726,0.98811,0.0424526,0.993556,0.974611,1.00243,8188.15,5307.25,8133,7104,8968
0.729,0.987759,0.0428875,0.993539,0.97394,1.00243,8028.8,3301.19,8058,7059,8915
0.732,0.987545,0.0434384,0.993011,0.97394,1.00268,7896.24,2617.42,7997,7024,8860
0.735,0.987871,0.0447814,0.993487,0.974233,1.00258,7946.31,3397.61,7911,6952,8781
0.738,0.987684,0.0447736,0.993501,0.97394,1.00243,7731.58,1803.46,7861,6910,8712
0.741,0.987237,0.0452016,0.993044,0.973158,1.00275,7841.02,3009.08,7810,6913,8669
0.744,0.98701,0.0456559,0.993011,0.972153,1.00275,7786.21,3429.87,7750,6832,8597
0.747,0.98673,0.0455686,0.992984,0.971956,1.00236,7648.8,2456.39,7684,6783,8514
0.75,0.986759,0.0455949,0.99273,0.971173,1.00275,7569.61,2402.25,7665,6755,8486
0.753,0.98656,0.0455037,0.992573,0.970363,1.00293,7561.18,2796.98,7626,6676,8432
0.756,0.986398,0.0463926,0.992077,0.970283,1.00297,7507.94,2595.1,7598,6629,8378
0.759,0.9863,0.0468012,0.99211,0.970039,1.00304,7471.17,2938.74,7534,6584,8301
0.762,0.986269,0.0471515,0.992077,0.970082,1.00304,7333.47,2415.11,7461,6559,8211
